# AlloCiné ID,IMDb ID,BetaSeries ID,SensCritique ID
18801,tt4396862,the-catch,Berserk/21252405
18820,tt4428038,the-family-2015,The_Family/16801771
18821,tt3121722,paw-patrol,La_Pat_Patrouille/15825433
18841,tt4661722,templeton,Templeton/13241805
18843,tt3069894,shtisel,Les_Shtisel_Une_famille_a_Jerusalem/17344937
18867,tt4421578,containment,Alerte_Contagion/19051380
18870,tt4419214,queen-sugar,Queen_Sugar/22607656
18875,tt5024912,insecure,Insecure/22723020
18890,tt4655480,chicago-med,Chicago_Med/16523418
18897,tt7335184,you,You/28350421
18913,tt4489874,lebowitz-contre-lebowitz,Lebowitz_contre_Lebowitz/19181471
18935,tt3681610,the-team,The_Team/17347410
18951,tt4522400,underground,Underground/17416343
18960,tt4524056,vis-a-vis,Derriere_les_barreaux/15916249
18968,tt4635282,the-oa,The_OA/24009587
18981,tt3729898,hap-and-leonard,Hap_and_Leonard/19037053
18988,tt4141516,norskov,Norskov_dans_le_secret_des_glaces/17341770
18990,tt3655398,the-lava-field,Meurtre_au_pied_du_volcan/19155052
19000,tt4520992,falling-water,Falling_Water/21323100
19011,tt4602768,doctor-foster,Dr_Foster/17109670
19015,tt4192812,unforgotten,Unforgotten/17448364
19050,tt3880754,station-horizon,Station_Horizon/19778002
19051,tt2309405,jordskott,Jordskott/17545673
19124,tt4506998,lolirock,Loli_Rock/18630420
19136,tt4532368,legends-of-tomorrow,DC_s_Legends_of_Tomorrow/15829581
19137,tt4800878,lucky-man,Lucky_Man/18988200
19156,tt4574334,stranger-things,Stranger_Things/19011356
19157,tt3986586,fuller-house,La_Fete_a_la_maison_20_ans_apres/17509878
19195,tt5174766,beyond-2016,Beyond/23083997
19207,tt4604612,the-alienist,L_Alieniste/13603872
19239,tt4643084,counterpart,Counterpart/28235259
19258,tt4938084,doctor-thorne,Docteur_Thorne/19420339
19264,tt4644488,dragon-ball-super,Dragon_Ball_Super/16097584
19280,tt3640276,the-brokenwood-mysteries,The_Brokenwood_Mysteries/16613718
19298,tt4036886,the-enfield-haunting,Le_Mystere_Enfield/23372559
19307,tt2379308,psycho-pass,Psycho_Pass/8173410
19319,tt9814116,brave-new-world-2019,Brave_New_World/15418729
19325,tt9381622,special,Special/38932372
19344,tt4835480,baron-noir,Baron_Noir/19155884
19360,tt4866982,graves,Graves/22772584
19361,tt5191110,berlin-station,Berlin_Station/22709743
19372,tt4719586,plastic-sea,Mer_de_plastique/17999941
19392,tt4917066,prison-school,Prison_School/16048119
19412,tt4017986,land-of-honor,Terre_de_Passions/22174384
19414,tt2250192,sword-art-online,Sword_Art_Online/361554
19439,tt5133998,dark-love,Endless_Love/17765822
19449,tt4998212,the-ranch-2016,The_Ranch/19082761
19450,tt4789576,the-path,The_Path/18467373
19469,tt4836846,jour-polaire,Jour_polaire/23301436
19475,tt6483832,the-resident,The_Resident/28720822
19486,tt5363766,feed-the-beast,Feed_The_Beast/20176147
19491,tt4687880,goliath,Goliath/22724474
19500,tt3561180,trapped-2015,Trapped/17449119
19504,tt4820370,channel-zero,Channel_Zero/22686012
19505,tt3315386,roots-2016,Racines/19462409
19520,tt5179408,you-me-her,You_Me_Her/19969757
19532,tt4869896,overlord,Overlord/16047859
19539,tt3581932,and-then-there-were-none,Agatha_Christie_Ils_Etaient_Dix/17132776
19540,tt4687892,good-girls-revolt,Good_Girls_Revolt/15521130
19547,tt4878612,z-the-beginning-of-everything,Z_la_ou_tout_commence/22018204
19548,tt4878488,stateless,Stateless/39569127
19549,tt3480144,serie-noire,Serie_noire/17766196
19561,tt4299972,the-jinx-the-life-and-deaths-of-robert-durst,The_Jinx/13247626
19565,tt4877736,braindead,Brain_Dead/19943130
19566,tt4878326,wynonna-earp,Wynonna_Earp/19014266
19570,tt6495756,ingobernable,Ingobernable/24773316
19575,tt3910804,war-and-peace-2016,Guerre_et_Paix/18031709
19578,tt3574152,partners-in-crime-2015,Associes_contre_le_crime/16414303
19582,tt4925366,nobodies,Nobodies/25052473
19583,tt4635276,master-of-none,Master_of_None/14878543
19585,tt4898282,blood-drive,Blood_Drive/25143695
19586,tt4947608,one-mississippi,One_Mississippi/22724506
19589,tt2348803,kuroko-no-basuke,Kuroko_no_Basket/387254
19590,tt6853528,little-women-2017,Les_Quatre_Filles_du_docteur_March/28227022
19598,tt4903242,the-detour,The_Detour/19022965
19603,tt5904172,guyane,Guyane/24257582
19610,tt4922804,3-percent,3/17613233
19617,tt4998350,the-deuce,The_Deuce/22976435
